grocery_id,grocery_name,grocery_address,grocery_ratings,latitude,longitude,zipcode
1,H-E-B,"1000 E 41st St, Austin, TX 78751",3.5,30.300643,-97.719963,78751
2,Central Market - North Lamar,"4001 N Lamar Blvd, Austin, TX 78756",4,30.3076202,-97.739877,78756
3,ATX Food Mart,"3002 S Congress Ave, Austin, TX 78704",5,30.2324791,-97.7589722,78704
4,Sprouts Farmers Market,"1201 Barbara Jordan Blvd, Bldg 7, Austin, TX 78723",5,30.30481808,-97.70957293,78723
5,Lake Austin H-E-B,"2652 Lake Austin Blvd, Austin, TX 78703",4,30.28379087,-97.7758207,78703
6,Wheatsville Food Co-op,"3101 Guadalupe St, Austin, TX 78705",4.5,30.29761504,-97.74113989,78705
7,Whole Foods Market,"525 N Lamar Blvd, Austin, TX 78703",4,30.270598,-97.753388,78703
8,TinyGrocer,"1718 S Congress Ave, Austin, TX 78704",5,30.246388,-97.751148,78704
9,Fresh Plus Grocery,"2401 San Gabriel St, Ste 200, Austin, TX 78705",3.5,30.288525,-97.747467,78705
10,Central Market - Westgate,"4477 S Lamar Blvd, Austin, TX 78745",4,30.23124525,-97.79716657,78745
11,Native Grocery,"705 Tillery St, Austin, TX 78702",4.5,30.261115,-97.704171,78702
12,Royal Blue Grocery,"301 Brazos St, Ste 110, Austin, TX 78701",4,30.2649403,-97.742363,78701
13,Trader Joe's,"211 Walter Seaholm Dr, Ste 100, Austin, TX 78701",4,30.267503,-97.752792,78701
14,Sprouts Farmers Market,"4006 S Lamar Blvd, Ste 400, Austin, TX 78704",3.5,30.237778,-97.79312745,78704
15,H-E-B,"701 S Capital Of Texas Hwy, Bld C, West Lake Hills, TX 78746",4,30.291634,-97.824984,78746
16,Trader Joe's,"9722 Great Hills Trl, Ste 200, Austin, TX 78759",4.5,30.395591,-97.751774,78759
17,Wheatsville Food Co-op,"4001 S Lamar Blvd, Austin, TX 78704",4,30.235157,-97.791267,78704
18,Thom's Market,"1418 Barton Springs Rd, Austin, TX 78704",4.5,30.26165,-97.7596499,78704
19,H-E-B,"12400 W Hwy 71, Bee Cave, TX 78738",4,30.30475403,-97.93232138,78738
20,Walmart Supercenter,"710 E Ben White Blvd, Austin, TX 78704",2,30.22093713,-97.75406387,78704
21,RiverCity Market,"2209 S Congress Ave, Austin, TX 78704",4,30.240873,-97.752353,78704
22,Whole Foods Market,"901 E 5th St, Ste 100, Austin, TX 78702",3.5,30.26435,-97.73387,78702
23,Tiny Grocer / Hyde Park,"4300 Speedway, Ste 101, Austin, TX 78751",4.5,30.30714616,-97.72995882,78751
24,Dia's Market,"812 Justin Ln, Austin, TX 78757",4.5,30.33760168,-97.7205597,78757
25,H-E-B,"1801 E 51st St, Austin, TX 78723",3.5,30.30100014,-97.69864178,78723
26,Royal Blue Grocery - Rainey St,"51 Rainey St, Ste 120, Austin, TX 78701",4,30.25726894,-97.73922682,78701
27,Borinken Roots,"11800 N Lamar Blvd, Bldg 2, Austin, TX 78753",4.5,30.38835,-97.68406,78753
